Title; Link; Description
10-million-password-list-top-1000000.txt;https://github.com/danielmiessler/SecLists/blob/master/Passwords/Common-Credentials/10-million-password-list-top-1000000.txt;
10-million-password-list-top-1000.txt;https://github.com/danielmiessler/SecLists/blob/master/Passwords/Common-Credentials/10-million-password-list-top-1000.txt;
rlm_pap.txt;https://freeradius.org/radiusd/man/rlm_pap.txt;
Passwords Dictionary Attack;https://www.albany.edu/~goel/classes/spring2005/msi416/notes/password.ppt;
Password Authentication and Protection;https://www.albany.edu/~goel/classes/spring2008/itm416/notes/password.ppt;
Password;https://morethanenglish.edublogs.org/files/2011/11/Vocabulary-Password-Game-1fduk12.ppt;-
Change Password (PPT);https://www.jccs.gov/olvr/userguides/AGATRS_CHANGE_PASSWORD.ppt;
RFC 2898 Password-Based Cryptography;https://www.ietf.org/rfc/rfc2898.txt;
Show Source;https://geonetwork-opensource.org/manuals/2.10.4/eng/users/_sources/features/user-self-registration/index.rst.txt;
Password Protection;https://ia.mgt.unm.edu/pdf/outreach/presentations/2017%20Spring/Password%20Protection.ppt;
Intruders and password protection;https://www.just.edu.jo/~tawalbeh/aabfs/presentations/password_protection.ppt;
Password Management Strategies for Online Accounts;https://cups.cs.cmu.edu/soups/2006/slides/gaw.ppt;
CHANGING PASSWORD;https://www.nadt.gov.in/writereaddata/MenuContentImages/07_How%20to%20change%20Password%20in%20ITD-BCP_11-07-2013635101739754868807.pps;
Key Exchange Using Passwords and Long Keys;http://www.cs.toronto.edu/~vlad/papers/KE_TCC06.ppt;
My System Profile and Password Reset Instructions PART 1;https://nv.edu/images/Portals/0/Documents/HR/PasswordReSetSetUp.ppt;
database.txt;http://www.sfu.ca/~cqt/IAT352/a4/database.txt;
Introducing OECD iLibrary - Key Pages and Concepts ...;https://www.oecd.org/about/publishing/46249610.ppt;
GLACIER_AdminTraining;https://financial.ucsc.edu/SiteCollectionDocuments/GLACIER_AdminTraining.ppt;
Upon first login you will be shown EXPIRED PASSWORD ...;https://www.icsi.edu/media/webmodules/PMQ_User_Manual1.ppt;
password;https://www.cs.purdue.edu/homes/ninghui/courses/526_Fall14/handouts/14_526_topic07.ppt;
RFC 3211;https://www.rfc-editor.org/rfc/rfc3211.txt;
Logon to PEPS;https://www2.ed.gov/offices/OSFAP/PEPS/docs/QRT1.ppt;
Password Authentication for 802.11;https://mentor.ieee.org/802.11/dcn/09/11-09-0123-00-0wng-password-authentication.ppt;
WebTA Job Aid;https://www.dcms.uscg.mil/Portals/10/CG-1/cg121/docs/webTA/Initial_Login_Change_Password.ppt?ver=2017-03-06-111857-777;
Taking the Password Test;https://www.amcis.co.uk/wp-content/uploads/2022/07/Improving-international-admissions-with-Password-Pupil-tests.ppt;
